rm -Rf scoring
rm -Rf package
rm -Rf package
mkdir package
mkdir package/predictions
mkdir package/datasets
rsync -ar --exclude='**/test_y.npy' datasets/* package/datasets/
cp -R evaluation/main.py package/main.py
cp -R daniel-1/* package
cd package; python3 main.py
==============================================================================
=============    Your NAS Unseen-Data 2026 Submission is running     =============
==============================================================================
========== Dataset   Ganges   =============================================
  Metadata:
   - num_classes         : 6
   - input_shape         : [4500, 1, 27, 18]
   - codename            : Ganges
   - benchmark           : 27.5
   - time_limit          : 0.1
   - time_remaining      : 359.9957920983434

=== Processing Data ===
  Allotted compute time remaining: ~5m,59s
[DataProcessor] augmentation: quantized/categorical (noise only) - shape 1x27x18, 2 unique values seen in 20000 sampled

=== Performing NAS ===
  Allotted compute time remaining: ~5m,57s
[NAS] macro: c0=32 n=2 d=2 stem_stride=1 (H=27, W=18 -> 6x4)
[NAS] scoring up to 15625 genotypes (full search space)
[NAS] scored 0 genotypes
[NAS] scored 380 genotypes, verifying top 14 (max_batches=20, batch_size=512, t_batch~0.085s, t_val~0.02s)
  [NAS] verify: val=15.50% t=0.7s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=17.00% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.83% t=0.5s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.00% t=0.5s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
[NAS] selected genotype (val=18.50%): ['conv1x1', 'conv1x1', 'conv3x3', 'conv3x3', 'conv1x1', 'conv3x3']

=== Training ===
  Allotted compute time remaining: ~5m,36s
[Trainer] weight decay on 40 tensors, none on 79 (BN/bias)
  [Trainer] Epoch   1 | train=16.67% val=17.00% gap= -0.33 | loss=1.8460 | lr=0.01000 | t/ep=  0.5s t/eval= 0.1s | rem=   336s
  [Trainer] Epoch   2 | train=21.53% val=18.50% gap= +3.03 | loss=1.7919 | lr=0.01000 | t/ep=  0.5s t/eval= 0.1s | rem=   336s
  [Trainer] Epoch   3 | train=23.95% val=17.17% gap= +6.78 | loss=1.7565 | lr=0.01000 | t/ep=  0.5s t/eval= 0.0s | rem=   335s
  [Trainer] Epoch   4 | train=30.35% val=18.17% gap=+12.18 | loss=1.7346 | lr=0.01000 | t/ep=  0.5s t/eval= 0.0s | rem=   335s
  [Trainer] Epoch   5 | train=35.64% val=21.67% gap=+13.98 | loss=1.6997 | lr=0.01000 | t/ep=  0.5s t/eval= 0.1s | rem=   334s
  [Trainer] Epoch   6 | train=38.28% val=20.33% gap=+17.95 | loss=1.6606 | lr=0.01000 | t/ep=  0.5s t/eval= 0.0s | rem=   333s
  [Trainer] Epoch   7 | train=43.02% val=24.50% gap=+18.52 | loss=1.6070 | lr=0.01000 | t/ep=  0.5s t/eval= 0.1s | rem=   333s
  [Trainer] Epoch   8 | train=50.07% val=19.00% gap=+31.07 | loss=1.5336 | lr=0.01000 | t/ep=  0.5s t/eval= 0.0s | rem=   332s
  [Trainer] Epoch   9 | train=52.69% val=23.83% gap=+28.85 | loss=1.4535 | lr=0.00999 | t/ep=  0.5s t/eval= 0.0s | rem=   332s
  [Trainer] Epoch  10 | train=58.62% val=27.50% gap=+31.12 | loss=1.3542 | lr=0.00999 | t/ep=  0.5s t/eval= 0.1s | rem=   331s
  [Trainer] Epoch  11 | train=61.57% val=22.50% gap=+39.07 | loss=1.2624 | lr=0.00999 | t/ep=  0.5s t/eval= 0.0s | rem=   331s
  [Trainer] Epoch  12 | train=67.14% val=24.00% gap=+43.14 | loss=1.1587 | lr=0.00999 | t/ep=  0.5s t/eval= 0.0s | rem=   330s
  [Trainer] Epoch  13 | train=70.65% val=22.83% gap=+47.82 | loss=1.0794 | lr=0.00999 | t/ep=  0.5s t/eval= 0.0s | rem=   330s
  [Trainer] Epoch  14 | train=74.56% val=23.50% gap=+51.06 | loss=1.0099 | lr=0.00998 | t/ep=  0.5s t/eval= 0.0s | rem=   329s
  [Trainer] Epoch  15 | train=78.59% val=25.33% gap=+53.26 | loss=0.9384 | lr=0.00998 | t/ep=  0.5s t/eval= 0.0s | rem=   328s
  [Trainer] Epoch  16 | train=83.52% val=25.50% gap=+58.02 | loss=0.8413 | lr=0.00998 | t/ep=  0.5s t/eval= 0.0s | rem=   328s
  [Trainer] Epoch  17 | train=89.38% val=25.67% gap=+63.71 | loss=0.7436 | lr=0.00998 | t/ep=  0.5s t/eval= 0.0s | rem=   327s
  [Trainer] Epoch  18 | train=91.97% val=22.50% gap=+69.47 | loss=0.6870 | lr=0.00997 | t/ep=  0.5s t/eval= 0.0s | rem=   327s
  [Trainer] Epoch  19 | train=94.58% val=25.17% gap=+69.41 | loss=0.6275 | lr=0.00997 | t/ep=  0.5s t/eval= 0.0s | rem=   326s
  [Trainer] Epoch  20 | train=96.95% val=28.83% gap=+68.11 | loss=0.5838 | lr=0.00997 | t/ep=  0.5s t/eval= 0.1s | rem=   326s
  [Trainer] Epoch  21 | train=98.85% val=27.67% gap=+71.19 | loss=0.5401 | lr=0.00996 | t/ep=  0.5s t/eval= 0.0s | rem=   325s
  [Trainer] Epoch  22 | train=99.56% val=30.33% gap=+69.23 | loss=0.5104 | lr=0.00996 | t/ep=  0.5s t/eval= 0.1s | rem=   325s
  [Trainer] Epoch  23 | train=99.95% val=31.50% gap=+68.45 | loss=0.4874 | lr=0.00995 | t/ep=  0.5s t/eval= 0.1s | rem=   324s
  [Trainer] Epoch  24 | train=99.98% val=30.50% gap=+69.48 | loss=0.4705 | lr=0.00995 | t/ep=  0.5s t/eval= 0.0s | rem=   323s
  [Trainer] Epoch  25 | train=100.00% val=30.00% gap=+70.00 | loss=0.4581 | lr=0.00995 | t/ep=  0.5s t/eval= 0.0s | rem=   323s
  [Trainer] Epoch  26 | train=100.00% val=30.83% gap=+69.17 | loss=0.4499 | lr=0.00994 | t/ep=  0.5s t/eval= 0.0s | rem=   322s
  [Trainer] Epoch  27 | train=100.00% val=30.17% gap=+69.83 | loss=0.4440 | lr=0.00994 | t/ep=  0.5s t/eval= 0.0s | rem=   322s
  [Trainer] Epoch  28 | train=100.00% val=31.67% gap=+68.33 | loss=0.4403 | lr=0.00993 | t/ep=  0.5s t/eval= 0.1s | rem=   321s
  [Trainer] Epoch  29 | train=100.00% val=30.83% gap=+69.17 | loss=0.4376 | lr=0.00993 | t/ep=  0.5s t/eval= 0.0s | rem=   321s
  [Trainer] Epoch  30 | train=100.00% val=31.50% gap=+68.50 | loss=0.4362 | lr=0.00992 | t/ep=  0.5s t/eval= 0.0s | rem=   320s
  [Trainer] Epoch  31 | train=100.00% val=30.50% gap=+69.50 | loss=0.4346 | lr=0.00992 | t/ep=  0.5s t/eval= 0.0s | rem=   320s
  [Trainer] Epoch  32 | train=100.00% val=31.17% gap=+68.83 | loss=0.4335 | lr=0.00991 | t/ep=  0.5s t/eval= 0.0s | rem=   319s
  [Trainer] Epoch  33 | train=100.00% val=30.83% gap=+69.17 | loss=0.4325 | lr=0.00990 | t/ep=  0.5s t/eval= 0.0s | rem=   318s
  [Trainer] Epoch  34 | train=100.00% val=31.00% gap=+69.00 | loss=0.4316 | lr=0.00990 | t/ep=  0.5s t/eval= 0.0s | rem=   318s
  [Trainer] Epoch  35 | train=100.00% val=30.50% gap=+69.50 | loss=0.4311 | lr=0.00989 | t/ep=  0.5s t/eval= 0.0s | rem=   317s
  [Trainer] Epoch  36 | train=100.00% val=30.83% gap=+69.17 | loss=0.4303 | lr=0.00989 | t/ep=  0.5s t/eval= 0.0s | rem=   317s
  [Trainer] Epoch  37 | train=100.00% val=31.00% gap=+69.00 | loss=0.4299 | lr=0.00988 | t/ep=  0.5s t/eval= 0.0s | rem=   316s
  [Trainer] Epoch  38 | train=100.00% val=30.00% gap=+70.00 | loss=0.4295 | lr=0.00987 | t/ep=  0.5s t/eval= 0.0s | rem=   316s
  [Trainer] Epoch  39 | train=100.00% val=31.33% gap=+68.67 | loss=0.4291 | lr=0.00987 | t/ep=  0.5s t/eval= 0.0s | rem=   315s
  [Trainer] Epoch  40 | train=100.00% val=29.50% gap=+70.50 | loss=0.4287 | lr=0.00986 | t/ep=  0.5s t/eval= 0.0s | rem=   315s
  [Trainer] Epoch  41 | train=100.00% val=30.50% gap=+69.50 | loss=0.4286 | lr=0.00985 | t/ep=  0.5s t/eval= 0.0s | rem=   314s
  [Trainer] Epoch  42 | train=100.00% val=31.00% gap=+69.00 | loss=0.4280 | lr=0.00984 | t/ep=  0.5s t/eval= 0.0s | rem=   313s
  [Trainer] Epoch  43 | train=100.00% val=31.67% gap=+68.33 | loss=0.4278 | lr=0.00984 | t/ep=  0.6s t/eval= 0.1s | rem=   313s
  [Trainer] Epoch  44 | train=100.00% val=30.17% gap=+69.83 | loss=0.4274 | lr=0.00983 | t/ep=  0.5s t/eval= 0.0s | rem=   312s
  [Trainer] Epoch  45 | train=100.00% val=31.33% gap=+68.67 | loss=0.4276 | lr=0.00982 | t/ep=  0.5s t/eval= 0.0s | rem=   312s
  [Trainer] Epoch  46 | train=100.00% val=29.50% gap=+70.50 | loss=0.4272 | lr=0.00981 | t/ep=  0.5s t/eval= 0.0s | rem=   311s
  [Trainer] Epoch  47 | train=100.00% val=31.00% gap=+69.00 | loss=0.4270 | lr=0.00980 | t/ep=  0.5s t/eval= 0.0s | rem=   311s
  [Trainer] Epoch  48 | train=100.00% val=31.33% gap=+68.67 | loss=0.4267 | lr=0.00979 | t/ep=  0.5s t/eval= 0.0s | rem=   310s
  [Trainer] Epoch  49 | train=100.00% val=31.50% gap=+68.50 | loss=0.4268 | lr=0.00978 | t/ep=  0.5s t/eval= 0.0s | rem=   309s
  [Trainer] Epoch  50 | train=100.00% val=30.67% gap=+69.33 | loss=0.4261 | lr=0.00978 | t/ep=  0.5s t/eval= 0.0s | rem=   309s
  [Trainer] Epoch  51 | train=100.00% val=30.33% gap=+69.67 | loss=0.4260 | lr=0.00977 | t/ep=  0.5s t/eval= 0.0s | rem=   308s
